,monocyte,plasma cell,fibroblast,macrophage
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY,0.6621621621621622,0.5,0.5135135135135135,0.43243243243243246
GOBP_T_CELL_MEDIATED_CYTOTOXICITY,0.639344262295082,0.5081967213114754,0.4918032786885246,0.4098360655737705
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY,0.6078431372549019,0.47058823529411764,0.45098039215686275,0.37254901960784315
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY,0.9,0.6,0.6,0.6
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY,0.5365853658536586,0.4634146341463415,0.4146341463414634,0.34146341463414637
GOBP_REGULATION_OF_RECEPTOR_RECYCLING,0.84,0.64,0.76,0.56
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_RECYCLING,0.8,0.8,0.8,0.8
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING,0.9285714285714286,0.6428571428571429,0.6428571428571429,0.5
GOBP_B_1_B_CELL_DIFFERENTIATION,0.8,0.6,0.6,0.6
GOBP_ENDOTHELIAL_CELL_PROLIFERATION,0.5240384615384616,0.36538461538461536,0.5288461538461539,0.35096153846153844
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION,0.34615384615384615,0.32051282051282054,0.38461538461538464,0.24358974358974358
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION,0.5727272727272728,0.36363636363636365,0.5454545454545454,0.35454545454545455
GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION,0.6904761904761905,0.5238095238095238,0.7142857142857143,0.35714285714285715
GOBP_VASCULATURE_DEVELOPMENT,0.6308962264150944,0.4563679245283019,0.6474056603773585,0.4233490566037736
GOBP_LYMPH_VESSEL_DEVELOPMENT,0.6451612903225806,0.4838709677419355,0.8709677419354839,0.5161290322580645
GOBP_LYMPHANGIOGENESIS,0.631578947368421,0.42105263157894735,0.8421052631578947,0.42105263157894735
GOBP_REGULATION_OF_CELL_MATRIX_ADHESION,0.784,0.632,0.776,0.568
GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION,0.75,0.55,0.7,0.55
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION,0.75,0.6071428571428571,0.7678571428571429,0.5714285714285714
GOBP_BLOOD_VESSEL_MATURATION,1.0,0.625,0.875,0.375
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION,0.6111111111111112,0.4444444444444444,0.6111111111111112,0.4444444444444444
GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC,0.4642857142857143,0.32142857142857145,0.42857142857142855,0.21428571428571427
GOBP_STARTLE_RESPONSE,0.6071428571428571,0.39285714285714285,0.6428571428571429,0.2857142857142857
GOBP_SUCKLING_BEHAVIOR,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5
GOBP_BLOOD_VESSEL_REMODELING,0.6153846153846154,0.4807692307692308,0.7115384615384616,0.38461538461538464
GOBP_RESPONSE_TO_AMPHETAMINE,0.6666666666666666,0.5,0.6666666666666666,0.2777777777777778
GOBP_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE,0.46153846153846156,0.46153846153846156,0.38461538461538464,0.3076923076923077
